SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Multi-Family (2-4 Unit),1112 Main St,Ashby,MA,01431,350000,6,5.0,Ashby,4158,43560,1935,1,84,,Pre On-Market,,,https://www.redfin.com/MA/Ashby/1112-Main-St-01431/home/8406063,Coming Soon,84100,N,Y,42.6801226,-71.8294998
MLS Listing,,Multi-Family (2-4 Unit),49-53 Capen St,Stoughton,MA,02072,699900,6,4.0,Stoughton,3786,7435,1930,1,185,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Stoughton/49-Capen-St-02072/home/11732123,MLS PIN,72974586,N,Y,42.1236298,-71.099253
MLS Listing,,Multi-Family (2-4 Unit),48 Middlesex St,Chelmsford,MA,01863,750000,8,2.0,Chelmsford,3260,25285,1870,1,230,,Active,May-5-2022 05:00 PM,May-5-2022 06:30 PM,https://www.redfin.com/MA/North-Chelmsford/48-Middlesex-St-01863/home/11561784,MLS PIN,72973083,N,Y,42.6384679,-71.3793525
MLS Listing,,Multi-Family (2-4 Unit),23 Ledge Hill Rd,Boston,MA,02132,995000,4,3.0,West Roxbury,2146,5400,1965,3,464,,Active,,,https://www.redfin.com/MA/Boston/23-Ledge-Hill-Rd-02132/home/9218020,MLS PIN,72974287,N,Y,42.2727019,-71.169429
Redfin Data,,Multi-Family (2-4 Unit),78 Boisvert St,Lowell,MA,01850,649990,6,3.0,Lowell,3429,3485,1890,3,190,,Pre On-Market,,,https://www.redfin.com/MA/Lowell/78-Boisvert-St-01850/home/11636954,Coming Soon,84079,N,Y,42.6564119,-71.309855
MLS Listing,,Multi-Family (5+ Unit),101 Central St,Lowell,MA,01851,975000,7,6.0,Downtown,6157,,1920,3,158,,Active,,,https://www.redfin.com/MA/Lowell/101-Central-St-01852/home/11643096,MLS PIN,72974246,N,Y,42.6440997,-71.3086241
MLS Listing,,Multi-Family (2-4 Unit),82 Bellflower Rd,Billerica,MA,01821,830000,7,5.5,Billerica,4976,18436,1930,3,167,,Active,,,https://www.redfin.com/MA/Billerica/82-Bellflower-Rd-01821/home/11392137,MLS PIN,72974079,N,Y,42.5644827,-71.2176047
MLS Listing,,Multi-Family (2-4 Unit),132 North St,Foxboro,MA,02035,675000,6,2.0,Foxboro,2711,12196,1940,3,249,,Active,,,https://www.redfin.com/MA/Foxborough/132-North-St-02035/home/11707641,MLS PIN,72973992,N,Y,42.0918498,-71.2570969
MLS Listing,,Multi-Family (2-4 Unit),14-16 Whiton Ave,Quincy,MA,02169,620000,4,2.0,Quincy,1632,3600,1944,3,380,,Active,,,https://www.redfin.com/MA/Quincy/14-Whiton-Ave-02169/home/8937329,MLS PIN,72973962,N,Y,42.2471137,-70.9752753
MLS Listing,,Multi-Family (2-4 Unit),38 Cottage St,Norwood,MA,02062,900000,5,3.5,Norwood,3940,13854,1880,3,228,,Active,,,https://www.redfin.com/MA/Norwood/38-Cottage-St-02062/home/11716627,MLS PIN,72973932,N,Y,42.1941583,-71.2027535
MLS Listing,,Multi-Family (2-4 Unit),64 Foster St,Boston,MA,02135,899000,4,3.0,Boston,1594,1749,1900,4,564,,Active,,,https://www.redfin.com/MA/Brighton/64-Foster-St-02135/home/9035749,MLS PIN,72973752,N,Y,42.3485418,-71.1571355
MLS Listing,,Multi-Family (5+ Unit),52-54 Bedford St,Waltham,MA,02453,895000,10,3.0,Waltham,3270,5001,1900,4,274,,Active,,,https://www.redfin.com/MA/Waltham/52-Bedford-St-02453/home/179250303,MLS PIN,72973667,N,Y,42.3715692,-71.2489064
MLS Listing,,Multi-Family (2-4 Unit),479 School St,Stoughton,MA,02072,750000,4,2.0,Stoughton,2313,169884,1900,4,324,,Active,,,https://www.redfin.com/MA/Stoughton/479-School-St-02072/home/11729263,MLS PIN,72973438,N,Y,42.1222055,-71.117441
MLS Listing,,Multi-Family (2-4 Unit),10 Stafford St,Dedham,MA,02026,799000,6,3.5,Dedham,2412,4037,1900,4,331,,Active,,,https://www.redfin.com/MA/Dedham/10-Stafford-St-02026/home/8856369,MLS PIN,72973386,N,Y,42.2509601,-71.1511412
MLS Listing,,Multi-Family (2-4 Unit),23 Wright St,Stoneham,MA,02180,635000,4,2.5,Stoneham,1480,5841,1900,4,429,,Active,,,https://www.redfin.com/MA/Stoneham/23-Wright-St-02180/home/11668850,MLS PIN,72973383,N,Y,42.4776867,-71.1018123
MLS Listing,,Multi-Family (2-4 Unit),1024-1026 Waverly St,Framingham,MA,01702,848000,7,3.0,Framingham,3013,8145,1927,4,281,,Active,,,https://www.redfin.com/MA/Framingham/1024-Waverly-St-01702/home/11602320,MLS PIN,72973394,N,Y,42.2724411,-71.4409521
MLS Listing,,Multi-Family (2-4 Unit),59 Devens St,Marlborough,MA,01752,524900,5,2.0,Marlborough,1961,8436,1900,4,268,,Active,,,https://www.redfin.com/MA/Marlborough/59-Devens-St-01752/home/11636663,MLS PIN,72973089,N,Y,42.3476169,-71.5480779
MLS Listing,,Multi-Family (2-4 Unit),42 Warren St,Revere,MA,02151,850000,5,2.0,Revere,2150,3999,1963,4,395,,Active,May-7-2022 11:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Revere/42-Warren-St-02151/home/9036052,MLS PIN,72973088,N,Y,42.4103773,-71.0171695
MLS Listing,,Multi-Family (2-4 Unit),81 High St,Wilmington,MA,01887,799900,5,4.0,Wilmington,3743,24394,1938,4,214,,Active,,,https://www.redfin.com/MA/Wilmington/81-High-St-01887/home/11701751,MLS PIN,72966149,N,Y,42.570266,-71.1490524
MLS Listing,,Multi-Family (2-4 Unit),41 Coburn St,Lowell,MA,01850,460000,6,2.0,Centralville,2252,1259,1930,5,204,,Active,,,https://www.redfin.com/MA/Lowell/41-Coburn-St-01850/home/11642690,MLS PIN,72973081,N,Y,42.6519092,-71.3066071
MLS Listing,,Multi-Family (2-4 Unit),4 Pond St,Billerica,MA,01821,649900,6,2.0,Billerica,2568,36340,1890,5,253,,Active,,,https://www.redfin.com/MA/Billerica/4-Pond-St-01821/home/11394589,MLS PIN,72973039,N,Y,42.5635002,-71.2648231
MLS Listing,,Multi-Family (2-4 Unit),73 Fremont Ave,Chelsea,MA,02150,899000,7,2.0,Chelsea,3036,4050,1930,5,296,,Active,,,https://www.redfin.com/MA/Chelsea/73-Fremont-Ave-02150/home/9020345,MLS PIN,72973031,N,Y,42.4079859,-71.0362494
MLS Listing,,Multi-Family (2-4 Unit),22 Laval St,Boston,MA,02136,949000,11,5.0,Hyde Park,3384,5332,1920,5,280,,Active,,,https://www.redfin.com/MA/Boston/22-Laval-St-02136/home/9126317,MLS PIN,72973011,N,Y,42.2632801,-71.1192514
MLS Listing,,Multi-Family (2-4 Unit),26 Walnut St,Marlborough,MA,01752,449000,4,2.0,Marlborough,2171,5494,1900,5,207,,Active,,,https://www.redfin.com/MA/Marlborough/26-Walnut-St-01752/home/11633564,MLS PIN,72972926,N,Y,42.3501802,-71.538038
MLS Listing,,Multi-Family (2-4 Unit),203 Gibson St,Lowell,MA,01851,699000,5,4.0,Lowell,3531,7887,1900,5,198,,Active,,,https://www.redfin.com/MA/Lowell/203-Gibson-St-01851/home/11616427,MLS PIN,72972852,N,Y,42.6330397,-71.3393629
MLS Listing,,Multi-Family (2-4 Unit),317-317R Norfolk Ave,Boston,MA,02125,975000,4,4.0,Dorchester,3000,5704,1886,5,325,,Active,,,https://www.redfin.com/MA/Boston/317-Norfolk-Ave-02125/unit-317R/home/9062823,MLS PIN,72972845,N,Y,42.3222254,-71.0668272
MLS Listing,,Multi-Family (2-4 Unit),69 Ellerton St,Revere,MA,02151,717977,5,3.0,Oak Island,2204,4199,1910,5,326,,Active,,,https://www.redfin.com/MA/Revere/69-Ellerton-St-02151/home/9017109,MLS PIN,72972803,N,Y,42.4223142,-70.9876118
MLS Listing,,Multi-Family (2-4 Unit),37 Maverick St,Chelsea,MA,02150,899000,9,3.0,Chelsea,3045,2355,1900,5,295,,Active,,,https://www.redfin.com/MA/Chelsea/37-Maverick-St-02150/home/11833977,MLS PIN,72972782,N,Y,42.3889969,-71.033439
MLS Listing,,Multi-Family (2-4 Unit),50 Chestnut St,Chelsea,MA,02150,659000,4,2.0,Chelsea,2424,2300,1900,5,272,,Active,,,https://www.redfin.com/MA/Chelsea/50-Chestnut-St-02150/home/9003929,MLS PIN,72972754,N,Y,42.3894598,-71.0422053
MLS Listing,,Multi-Family (2-4 Unit),347-349 Highland Ave,Malden,MA,02148,689900,6,2.0,Malden,2187,3149,1920,5,315,,Active,,,https://www.redfin.com/MA/Malden/347-Highland-Ave-02148/home/11385134,MLS PIN,72972620,N,Y,42.4246675,-71.0805288
