City/Town,0BR,1BR,2BR,3BR,4BR,,Source
Abington,1145 ,1309 ,1723 ,2181 ,2505 ,,https://www.rentdata.org/states/massachusetts/2022
Acton,1658 ,1826 ,2205 ,2726 ,2990 ,,
Acushnet,809 ,903 ,1114 ,1377 ,1511 ,,
Adams,848 ,1013 ,1277 ,1623 ,1759 ,,
Agawam,727 ,874 ,1094 ,1353 ,1623 ,,
Alford,940 ,1016 ,1337 ,1653 ,1877 ,,
Amesbury,1658 ,1826 ,2205 ,2726 ,2990 ,,
Amherst,727 ,874 ,1094 ,1353 ,1623 ,,
Andover,1040 ,1219 ,1565 ,1935 ,2122 ,,
Aquinnahtown,1824 ,1942 ,2213 ,2736 ,3186 ,,
Arlington,1658 ,1826 ,2205 ,2726 ,2990 ,,
Ashburnham,865 ,871 ,1146 ,1447 ,1727 ,,
Ashby,1658 ,1826 ,2205 ,2726 ,2990 ,,
Ashfield,798 ,909 ,1160 ,1488 ,1672 ,,
Ashland,1658 ,1826 ,2205 ,2726 ,2990 ,,
Athol,792 ,797 ,1049 ,1417 ,1423 ,,
Attleboro,913 ,1026 ,1234 ,1525 ,1868 ,,
Auburn,1103 ,1162 ,1491 ,1843 ,2022 ,,
Avon,1145 ,1309 ,1723 ,2181 ,2505 ,,
Ayer,1658 ,1826 ,2205 ,2726 ,2990 ,,
Barnstable,1248 ,1428 ,1879 ,2323 ,2548 ,,
Barre,1103 ,1162 ,1491 ,1843 ,2022 ,,
Becket,940 ,1016 ,1337 ,1653 ,1877 ,,
Bedford,1658 ,1826 ,2205 ,2726 ,2990 ,,
Belchertown,727 ,874 ,1094 ,1353 ,1623 ,,
Bellingham,1658 ,1826 ,2205 ,2726 ,2990 ,,
Belmont,1658 ,1826 ,2205 ,2726 ,2990 ,,
Berkley,952 ,1110 ,1433 ,1836 ,2052 ,,
Berlin,928 ,1062 ,1397 ,1789 ,2210 ,,
Bernardston,798 ,909 ,1160 ,1488 ,1672 ,,
Beverly,1658 ,1826 ,2205 ,2726 ,2990 ,,
Billerica,1237 ,1359 ,1773 ,2192 ,2404 ,,
Blackstone,928 ,1062 ,1397 ,1789 ,2210 ,,
Blandford,727 ,874 ,1094 ,1353 ,1623 ,,
Bolton,928 ,1062 ,1397 ,1789 ,2210 ,,
Boston,1658 ,1826 ,2205 ,2726 ,2990 ,,
Bourne,1248 ,1428 ,1879 ,2323 ,2548 ,,
Boxborough,1658 ,1826 ,2205 ,2726 ,2990 ,,
Boxford,1040 ,1219 ,1565 ,1935 ,2122 ,,
Boylston,1103 ,1162 ,1491 ,1843 ,2022 ,,
Braintree,1658 ,1826 ,2205 ,2726 ,2990 ,,
Brewster,1248 ,1428 ,1879 ,2323 ,2548 ,,
Bridgewater,1145 ,1309 ,1723 ,2181 ,2505 ,,
Brimfield,727 ,874 ,1094 ,1353 ,1623 ,,
Brockton,1145 ,1309 ,1723 ,2181 ,2505 ,,
Brookfield,1103 ,1162 ,1491 ,1843 ,2022 ,,
Brookline,1658 ,1826 ,2205 ,2726 ,2990 ,,
Buckland,798 ,909 ,1160 ,1488 ,1672 ,,
Burlington,1658 ,1826 ,2205 ,2726 ,2990 ,,
Cambridge,1658 ,1826 ,2205 ,2726 ,2990 ,,
