MLS,Address,Town/City,Property Type,List Price,RedFin Estimate,Beds,Baths,SQFT,Unit Info,RedFin Rent Estimate per Unit,MA Average Rent per Unit,Zillow Rent Estimate,Rent Estimate Used,MFH Mortgage Payment,Monthly Savings,MFH Cash Flow,MFH Cash-on-Cash Return (%),Combined Cash Flow,Cap Rate (%),Interested?,URL,Notes
72974586,"49-53 Capen St, Stoughton, MA 02072",Stoughton,3 Family,699900,697537,6,4,"3,786","[{'beds': '1', 'baths': '1'}, {'beds': '3', 'baths': '1'}, {'beds': '4', 'baths': '2'}]","[0, 0, 0]","[1826, 2726, 2990]",6909,6909,4831.85,4740.19,1540.19,59.1,2141.91,11.0,True,https://www.redfin.com/MA/Stoughton/49-Capen-St-02072/home/11732123,"['Used zestimate in calculations', 'Property has a good cap rate']"
72973083,"48 Middlesex St, Chelmsford, MA 01863",Chelmsford,2 Units Up/Down,750000,756379,8,2,"3,260","[{'beds': '3', 'baths': '1'}, {'beds': '5', 'baths': '2'}]","[1500, 0]","[2192, 0]",1583,1500,5182.83,-1019.79,-4219.79,-151.2,-3618.07,1.5,False,https://www.redfin.com/MA/North-Chelmsford/48-Middlesex-St-01863/home/11561784,['no MA rent data on greater than 4 bedrooms']
72974287,"23 Ledge Hill Rd, Boston, MA 02132",Boston,2 Units Side-by-Side,995000,996950,4,3,"2,146","[{'beds': '2', 'baths': '1'}, {'beds': '2', 'baths': '1'}]","[2600, 2950]","[2205, 2205]",3578,2950,6661.6,-1048.56,-4248.56,-114.8,-3646.84,2.9,False,https://www.redfin.com/MA/Boston/23-Ledge-Hill-Rd-02132/home/9218020,[]
72974079,"82 Bellflower Rd, Billerica, MA 01821",Billerica,2 Units Side-by-Side,830000,838791,7,5.5,"4,976","[{'beds': '5', 'baths': '3'}, {'beds': '2', 'baths': '1'}]","[0, 0]","[0, 1773]",2185,2185,5690.72,-842.68,-4042.68,-130.9,-3440.96,2.4,False,https://www.redfin.com/MA/Billerica/82-Bellflower-Rd-01821/home/11392137,"['no MA rent data on greater than 4 bedrooms', 'Used zestimate in calculations']"
72973992,"132 North St, Foxboro, MA 02035",Foxboro,2 Units Side-by-Side,675000,690958,6,2,"2,711","[{'beds': '3', 'baths': '3'}, {'beds': '3', 'baths': '3'}]","[0, 0]","[2192, 2192]",1383,1383,4540.02,-493.98,-3693.98,-147.1,-3092.26,1.5,False,https://www.redfin.com/MA/Foxborough/132-North-St-02035/home/11707641,['Used zestimate in calculations']
72973962,"14-16 Whiton Ave, Quincy, MA 02169",Quincy,2 Family,620000,644210,4,2,"1,632","[{'beds': '2', 'baths': '1'}, {'beds': '2', 'baths': '1'}]","[0, 0]","[2205, 2205]",0,0,4240.73,-1577.69,-4777.69,-207.1,-4175.97,-1.0,False,https://www.redfin.com/MA/Quincy/14-Whiton-Ave-02169/home/8937329,"['Property does not have a zestimate, set rent to zero']"
72973932,"38 Cottage St, Norwood, MA 02062",Norwood,2 Units Side-by-Side,900000,943621,5,3.5,"3,940","[{'beds': '4', 'baths': '3'}, {'beds': '1', 'baths': '1'}]","[0, 850]","[2990, 1826]",3058,850,6341.61,-2828.57,-6028.57,-180.0,-5426.85,0.4,False,https://www.redfin.com/MA/Norwood/38-Cottage-St-02062/home/11716627,[]
72973752,"64 Foster St, Boston, MA 02135",Boston,2 Family,899000,900987,4,3,"1,594","[{'beds': '2', 'baths': '2'}, {'beds': '2', 'baths': '1'}]","[2350, 1700]","[2205, 2205]",2128,2350,6065.56,-1052.52,-4252.52,-127.1,-3650.8,2.4,False,https://www.redfin.com/MA/Brighton/64-Foster-St-02135/home/9035749,[]
72973438,"479 School St, Stoughton, MA 02072",Stoughton,2 Family,750000,751451,4,2,"2,313","[{'beds': '2', 'baths': '1'}, {'beds': '2', 'baths': '1'}]","[0, 0]","[2205, 2205]",3198,3198,5174.91,686.13,-2513.87,-90.1,-1912.15,4.2,True,https://www.redfin.com/MA/Stoughton/479-School-St-02072/home/11729263,['Used zestimate in calculations']
72973386,"10 Stafford St, Dedham, MA 02026",Dedham,2 Units Up/Down,799000,825672,6,3.5,"2,412","[{'beds': '3', 'baths': '2'}, {'beds': '3', 'baths': '2'}]","[2700, 3100]","[2726, 2726]",1499,3100,5422.48,340.56,-2859.44,-96.2,-2257.72,3.7,True,https://www.redfin.com/MA/Dedham/10-Stafford-St-02026/home/8856369,[]
